"treeno" "species" "x" "y" "dbh" "h"
"1" 197 3 49.2 21.3 26 18.8
"2" 198 3 40.2 19.7 19.3 16.5
"3" 199 3 31.2 20.2 27.1 20.8
"4" 208 3 34.1 24.3 21 16.3
"5" 209 3 39.1 22.7 23 17.6
"6" 210 3 44.7 22.5 21.4 17.1
"7" 211 3 49.2 23.8 23.2 19.1
"8" 232 3 50 25.4 13.6 13.3
"9" 235 3 34.3 26.9 8.4 9.3
"10" 236 3 33.2 26.9 25.4 20
"11" 241 3 40.4 28.6 28.5 20.3
"12" 242 3 49.3 29.9 28.3 17.8
"13" 243 3 49.5 28.1 22 20.5
"14" 264 3 47.1 30.9 15.1 15.8
"15" 267 3 39 32.9 24.9 18.1
"16" 273 3 32.8 38.4 26.8 17.5
"17" 274 3 38.6 38.3 28.3 19.8
"18" 298 3 46.6 39.8 28.6 17.9
"19" 138 12 0.4 0.7 42.5 26
"20" 139 12 18 0.7 34.4 25
"21" 140 12 23.5 0.8 45.7 29.3
"22" 141 12 38.3 0.3 47.1 27.3
"23" 152 12 33.7 3.2 51.9 28.9
"24" 153 12 27.7 3.2 36.8 25.6
"25" 154 12 15.1 3.5 32.8 23.9
"26" 155 12 4.5 3.7 43 26.8
"27" 156 12 1 7.7 43.9 27.6
"28" 157 12 28.9 7.5 36 24.5
"29" 158 12 43.6 7.2 28.1 22.8
"30" 166 12 38.1 8.8 28.8 24.1
"31" 167 12 23.5 9 38.3 27.1
"32" 168 12 12.3 8.9 59.2 28.8
"33" 169 12 6.4 8.9 32.7 23.3
"34" 170 12 42.8 10.1 35.3 22.9
"35" 172 12 31.6 11.7 39.4 25.5
"36" 173 12 45.6 12.9 45.4 26.7
"37" 180 12 40.4 14.4 40.5 22.4
"38" 181 12 17.2 14.5 31.4 24.5
"39" 182 12 4.2 14.8 35.1 29.8
"40" 183 12 9.7 16.3 44.8 28.2
"41" 184 12 25.9 16 37.5 26.8
"42" 200 12 28.5 21.9 37.8 24.1
"43" 201 12 21.8 20.5 29.8 25.6
"44" 202 12 17.8 21.8 32.3 25.2
"45" 203 12 13.5 22 35.6 29.3
"46" 204 12 5 22.1 29.7 26.9
"47" 205 12 9.5 24.8 48.8 28.9
"48" 206 12 22.1 24.4 32.7 24.1
"49" 207 12 26.5 24.3 37.2 23.7
"50" 237 12 16.8 27.6 36.2 27.3
"51" 238 12 5.8 31 35.4 27.4
"52" 239 12 20.8 28.6 26.9 22.4
"53" 269 12 28.9 31.6 39.2 27.8
"54" 270 12 18.4 33.5 49 27.7
"55" 271 12 8.7 38.4 41.3 28.4
"56" 272 12 29.4 38.4 33.7 20.5
